track_name,track_id,album_name,release_date,album_popularity,album_id,artist_id
i like the way you kiss me,2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,2024-03-19,92,5HIWDdg3g9CTOtnevKDl1z,0PCCGZ0wGLizHt2KZ7hhA2
Too Sweet,0AjmK0Eai4zGrLaJwPvrDp,Unreal Unearth: Unheard,2024-03-22,83,1vL2mgGTukkrUxXt0loeTN,2FXC3k01G6Gw61bmprjgqS
Gata Only,6XjDF6nds4DE2BBbagZol6,Gata Only,2024-02-02,91,5tSQtQGkrCJx3hoQxmLgfM,7CvTknweLr9feJtRGrpDBy
Gata Only,6XjDF6nds4DE2BBbagZol6,Gata Only,2024-02-02,91,5tSQtQGkrCJx3hoQxmLgfM,1Yj5Xey7kTwvZla8sqdsdE
End of Beginning,3qhlB30KknSejmIvZZLjOD,DECIDE,2022-09-16,92,4JDXBZdRPId4devseaAOKH,5p9HO3XC5P3BLxJs5Mtrhm
Beautiful Things,3xkHsmpQCBMytMJNiDf3Ii,Fireworks & Rollerblades,2024-04-05,89,168CdR21lfn0TTyw1Pkdcm,22wbnEMDvgVIAGdFeek6ET
we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4,eternal sunshine,2024-03-08,98,5EYKrEDnKhhcNxGedaRQeK,66CXWjxzNUsdJxJ2JdwvnR
greedy,3rUGC1vUpkDG9CZFHMur1t,greedy,2023-09-15,90,3UOV8XvCwMKaATRNXrYCjN,45dkTj5sMRSjrmBSBeiHym
Espresso,2qSkIjg1o9h3YT9RAgYN75,Espresso,2024-04-12,83,5quMTd5zeI9yW5UDua8wS4,74KM79TiuVKeVCqs8QtB0B
Like That,2tudvzsrR56uom6smgOcSf,WE DON'T TRUST YOU,2024-03-22,98,4iqbFIdGOTzXeDtt9owjQn,1RyvyyTE3xzB2ZywiAwp0i
Like That,2tudvzsrR56uom6smgOcSf,WE DON'T TRUST YOU,2024-03-22,98,4iqbFIdGOTzXeDtt9owjQn,0iEtIxbK0KxaSlF7G42ZOp
Like That,2tudvzsrR56uom6smgOcSf,WE DON'T TRUST YOU,2024-03-22,98,4iqbFIdGOTzXeDtt9owjQn,2YZyLoL8N0Wb9xBt1NhZWg
Lose Control,17phhZDn6oGtzMe56NuWvj,I've Tried Everything But Therapy (Part 1),2023-09-15,89,7nacKlk586eLRBSIsrk9DB,33qOK5uJ8AR2xuQQAhHump
Magnetic,1aKvZDoLGkNMxoRYgkckZG,SUPER REAL ME,2024-03-25,88,6irebIc6UO8fN0jl4UlzBS,36cgvBn0aadzOijnjjwqMN
"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,87,7tzVd1fwkxsorytCBjEJkU,1Xyo4u8uXC1ZmMpatF05PJ
"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,87,7tzVd1fwkxsorytCBjEJkU,250b0Wlc5Vk0CoUsaCY84M
"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,87,7tzVd1fwkxsorytCBjEJkU,1pBLC0qVRTB5zVMuteQ9jJ
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,Lover,2019-08-23,97,1NAmidJlEaVgA3MpcPFYGq,06HL4z0CvFAxyc27GXpf02
Stick Season,0mflMxspEfB0VbI1kyLiAv,Stick Season,2022-10-14,92,50ZenUP4O2Q5eCy2NRNvuz,2RQXRUsr4IW1f3mKyKsy4B
TEXAS HOLD 'EM,7wLShogStyDeZvL0a6daN5,COWBOY CARTER,2024-03-29,98,6BzxX6zkDsYKFJ04ziU5xQ,6vWDO969PvNqNYHIOW5v0m
CARNIVAL,3w0w2T288dec0mgeZZqoNN,VULTURES 1,2024-02-09,95,30zwjSQEodaUXCn11nmiVF,4xPQFgDA5M2xa0ZGo5iIsv
CARNIVAL,3w0w2T288dec0mgeZZqoNN,VULTURES 1,2024-02-09,95,30zwjSQEodaUXCn11nmiVF,5K4W6rqBFWDnAN6FQUkS6x
CARNIVAL,3w0w2T288dec0mgeZZqoNN,VULTURES 1,2024-02-09,95,30zwjSQEodaUXCn11nmiVF,7c0XG5cIJTrrAgEC3ULPiq
CARNIVAL,3w0w2T288dec0mgeZZqoNN,VULTURES 1,2024-02-09,95,30zwjSQEodaUXCn11nmiVF,1pPmIToKXyGdsCF6LmqLmI
CARNIVAL,3w0w2T288dec0mgeZZqoNN,VULTURES 1,2024-02-09,95,30zwjSQEodaUXCn11nmiVF,699OTQXzgjhIYAHMy9RyPD
Saturn,1bjeWoagtHmUKputLVyDxQ,Saturn,2024-02-22,87,1fmBMCSSkSlvxyoy1vut2k,7tYKF4w9nC0nq9CsPZTHyP
LUNA,7bywjHOc0wSjGGbj04XbVi,FERXXOCALIPSIS,2023-12-01,91,0lgs2Sa82lyX89nBUWyUy6,2LRoIwlKmHjgvigdNGBHNo
LUNA,7bywjHOc0wSjGGbj04XbVi,FERXXOCALIPSIS,2023-12-01,91,0lgs2Sa82lyX89nBUWyUy6,7jAs1uPnpfNmT6e5qtEPxq
My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,The Land Is Inhospitable and So Are We,2023-09-15,88,2Cn1d2KgbkAqbZCJ1RzdkA,2uYWxilOVlUdk4oV9DvwqK
Austin,2uqYupMHANxnwgeiXTZXzd,What Happens Now?,2024-02-16,84,40HsqPqeSR9Xe3IyAJWr6e,7Ez6lTtSMjMf2YSYpukP1I
FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,UTOPIA,2023-07-28,95,18NOKLkZETa4sWwLMIm0UZ,0Y5tJX1MQlPlqiwlOH1tJY
FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,UTOPIA,2023-07-28,95,18NOKLkZETa4sWwLMIm0UZ,699OTQXzgjhIYAHMy9RyPD
Madonna,5LhI8m7n8xlQmNe3b7Rwis,Madonna,2024-03-08,85,0QZVRL2HC24voXfxWmpHvd,0elWFr7TW8piilVRYJUe4P
Madonna,5LhI8m7n8xlQmNe3b7Rwis,Madonna,2024-03-08,85,0QZVRL2HC24voXfxWmpHvd,3l9G1G9MxH6DaRhwLklaf5
I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,AM,2013-09-09,93,78bpIziExqiI9qztvNFlQu,7Ln80lUS6He07XvHI8qqHH
"Natanael Cano: Bzrp Music Sessions, Vol. 59",2DbV9TSdeGr5FobCFDRzvq,"Natanael Cano: Bzrp Music Sessions, Vol. 59",2024-04-02,80,2QIjTJqytJ9ksvoS1jpM90,716NhGYqD1jl2wI1Qkgq36
"Natanael Cano: Bzrp Music Sessions, Vol. 59",2DbV9TSdeGr5FobCFDRzvq,"Natanael Cano: Bzrp Music Sessions, Vol. 59",2024-04-02,80,2QIjTJqytJ9ksvoS1jpM90,0elWFr7TW8piilVRYJUe4P
Illusion,59xD5osEFsaNt5PXfIKUnX,Illusion,2024-04-11,80,68mwSgiHv3JF9nrw9feMrt,6M2wZ9GZgrQXHCFfjv46we
La Diabla,0R6NfOiLzLj4O5VbYSJAjf,La Diabla,2023-11-30,87,2IoSjweCu07y9mv5H1Cj3v,3Me35AWHCGqW4sZ7bWWJt1
Corazón de Piedra,0dEAiKNbHt4mrjjoiL0loc,Corazón de Piedra,2024-03-21,84,34jqKGS3XSMznpvtCwh9so,3Me35AWHCGqW4sZ7bWWJt1
Type Shit,28drn6tQo95MRvO0jQEo5C,WE DON'T TRUST YOU,2024-03-22,98,4iqbFIdGOTzXeDtt9owjQn,1RyvyyTE3xzB2ZywiAwp0i
Type Shit,28drn6tQo95MRvO0jQEo5C,WE DON'T TRUST YOU,2024-03-22,98,4iqbFIdGOTzXeDtt9owjQn,0iEtIxbK0KxaSlF7G42ZOp
Type Shit,28drn6tQo95MRvO0jQEo5C,WE DON'T TRUST YOU,2024-03-22,98,4iqbFIdGOTzXeDtt9owjQn,0Y5tJX1MQlPlqiwlOH1tJY
Type Shit,28drn6tQo95MRvO0jQEo5C,WE DON'T TRUST YOU,2024-03-22,98,4iqbFIdGOTzXeDtt9owjQn,699OTQXzgjhIYAHMy9RyPD
LA FALDA,7iUtQNMRB8ZkKC4AmEuCJC,LVEU: VIVE LA TUYA...NO LA MIA,2023-09-18,87,1ZVJTCW5rxpHKNgsNL91J2,7iK8PXO48WeuP03g8YR51W
Scared To Start,3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,2024-01-12,85,3NpeIWhWsxU7d3XL5KEh39,4j96cMcT8GRi11qbvo1cLQ
The Night We Met,3hRV0jL3vUpRrcy398teAU,Strange Trails,2015-04-06,84,4sD1qg4jwTZR4mvR4Iflk5,6ltzsmQQbmdoHHbLZ4ZN25
Water,5aIVCx5tnk0ntmdiinnYvw,Water,2023-07-28,85,22sXXkKgjEuawIFL1e1tRw,3SozjO3Lat463tQICI9LcE
Unwritten,3U5JVgI2x4rDyHGObzJfNf,Unwritten,2004-08-30,86,3PEzTAuPW5IjLJ58FzwQeL,7o95ZoZt5ZYn31e9z1Hc0a
