artist_id,artist_name,artist_popularity,followers,genre
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,82,505712,[]
2FXC3k01G6Gw61bmprjgqS,Hozier,85,6872423,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
7CvTknweLr9feJtRGrpDBy,FloyyMenor,78,257125,['reggaeton chileno']
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,83,2261382,"['mambo chileno', 'urbano chileno', 'urbano latino']"
5p9HO3XC5P3BLxJs5Mtrhm,Djo,80,1252092,"['pov: indie', 'psychedelic pop']"
22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,2246273,['singer-songwriter pop']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,95767859,['pop']
45dkTj5sMRSjrmBSBeiHym,Tate McRae,83,5173478,['pop']
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,82,7923278,['pop']
1RyvyyTE3xzB2ZywiAwp0i,Future,92,16666483,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,92,7765145,['rap']
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,88,27612562,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,81,1850879,[]
36cgvBn0aadzOijnjjwqMN,ILLIT,75,588668,[]
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,82089381,"['canadian contemporary r&b', 'canadian pop', 'pop']"
250b0Wlc5Vk0CoUsaCY84M,JENNIE,77,6080183,['k-pop']
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,76,106133,['pop']
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,108010406,['pop']
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,85,2655072,['pov: indie']
6vWDO969PvNqNYHIOW5v0m,Beyoncé,90,37113811,"['pop', 'r&b']"
4xPQFgDA5M2xa0ZGo5iIsv,¥$,82,555021,[]
